collection,date,remark
S2_SR_HARMONIZED_SWISS,2023-08-15,cloudy
S2_SR_HARMONIZED_SWISS,2023-08-17,cloudy
S2_SR_HARMONIZED_SWISS,2023-08-18,No candidate scene
S2_SR_HARMONIZED_SWISS,2023-08-23,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-03-27,cloudy
S2_SR_HARMONIZED_SWISS,2024-03-28,cloudy
S2_SR_HARMONIZED_SWISS,2024-03-29,cloudy
S2_SR_HARMONIZED_SWISS,2024-03-30,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-03-31,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-01,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-03,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-04,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-04-07,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-08,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-04-09,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-04-14,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-04-15,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-16,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-17,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-18,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-19,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-04-20,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-21,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-22,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-23,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-24,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-04-26,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-27,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-28,cloudy
S2_SR_HARMONIZED_SWISS,2024-04-29,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-05-01,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-02,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-03,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-04,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-05-05,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-06,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-07,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-08,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-09,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-05-12,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-05-13,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-14,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-05-15,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-16,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-17,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-18,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-19,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-05-21,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-22,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-23,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-24,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-05-25,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-26,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-27,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-29,No candidate scene
S2_SR_HARMONIZED_SWISS,2024-05-30,cloudy
S2_SR_HARMONIZED_SWISS,2024-05-31,cloudy
S2_SR_HARMONIZED_SWISS,2024-06-01,cloudy
S2_SR_HARMONIZED_SWISS,2024-06-02,cloudy
S2_SR_HARMONIZED_SWISS,2024-06-03,No candidate scene
